,¨K¨K,¨K¨J,¨K¡ú,¨J¨K,¨J¨J,¨J¡ú,¡ú¨K,¡ú¨J,¡ú¡ú 
103,AABR07021823.2,AABR07036010.1,AABR07026241.1,AABR07013147.1,AABR07067649.1,Daam1,AC080157.1,AABR07043573.1,LOC100359503
104,AABR07021996.1,AABR07036302.2,AABR07026441.2,AABR07013154.2,AABR07068694.1,Dapk1,AC093995.1,AABR07043813.1,LOC100361907
105,AABR07022022.1,AABR07036556.1,AABR07026473.1,AABR07013202.1,AABR07069611.1,Dbx2,AC094053.1,AABR07043844.1,LOC100909856
106,AABR07024439.1,AABR07036640.1,AABR07027088.1,AABR07013255.1,AABR07071161.1,Ddx51,AC097890.1,AABR07043892.1,LOC100910882
107,AABR07024441.1,AABR07036723.1,AABR07027096.1,AABR07013304.1,AABR07071395.1,Desi2,AC098125.3,AABR07044001.2,LOC100912608
108,AABR07024457.1,AABR07037058.1,AABR07027137.1,AABR07013410.1,AABR07071482.1,Dfna5,AC098459.1,AABR07044011.1,LOC103690114
109,AABR07024742.1,AABR07037356.1,AABR07027309.1,AABR07013539.1,AABR07072203.1,Dgcr6,AC099449.1,AABR07044714.1,LOC103690163
110,AABR07024757.1,AABR07037447.1,AABR07027390.1,AABR07013776.1,AABR07072400.1,Dixdc1,AC103024.1,AABR07044783.1,LOC499235
111,AABR07024795.1,AABR07037645.1,AABR07027390.2,AABR07013798.1,AABR07072559.1,Dnah17,AC106663.1,AABR07044838.1,LOC679811
112,AABR07024825.1,AABR07040412.1,AABR07027394.2,AABR07013843.1,AABR07073381.1,Dnajc1,AC107331.1,AABR07045262.1,Ldlr
113,AABR07024907.1,AABR07040629.1,AABR07027569.3,AABR07014114.1,AABR07073400.1,Dnajc22,AC108574.1,AABR07045621.1,Lmna
114,AABR07024908.1,AABR07040840.1,AABR07027866.1,AABR07014177.1,AABR07073453.1,Dpysl3,AC109837.1,AABR07047189.1,Lpar1
115,AABR07025284.1,AABR07040855.1,AABR07028055.1,AABR07014289.1,AC093960.1,Dqx1,AC110474.1,AABR07047293.1,Lrrc1
116,AABR07025303.1,AABR07040938.1,AABR07028668.1,AABR07014487.1,AC097038.1,Dusp8,AC110981.1,AABR07048228.1,Maged1
117,AABR07025743.1,AABR07040944.1,AABR07028749.2,AABR07014547.1,AC099150.1,Dzip1l,AC112350.1,AABR07048387.1,Map3k20
118,AABR07025819.1,AABR07041247.2,AABR07029204.1,AABR07014756.1,AC102976.1,E4f1,AC115255.1,AABR07048939.1,Map3k8
119,AABR07025896.1,AABR07041601.1,AABR07030086.1,AABR07014983.1,AC107446.3,ENSRNOG00000046460,AC117101.1,AABR07049119.1,Mdk
120,AABR07026048.1,AABR07042440.1,AABR07030482.1,AABR07015015.1,AC109100.1,Efhb,AC120310.1,AABR07049286.1,Mdm4
121,AABR07026137.2,AABR07042542.1,AABR07030593.1,AABR07015055.1,AC110709.2,Elf2,AC122603.1,AABR07050391.1,Mir3120
122,AABR07026240.1,AABR07042609.1,AABR07030603.2,AABR07015078.2,AC111292.1,Elovl6,AC124205.1,AABR07050393.1,Mlf2
123,AABR07026300.1,AABR07042802.1,AABR07030642.1,AABR07015080.2,AC117330.1,Eno2,AC125757.1,AABR07050466.1,Mlh1
124,AABR07026311.1,AABR07042937.1,AABR07030793.1,AABR07015687.1,AC118439.1,Enpp2,AC126530.2,AABR07050648.1,Mmp16
125,AABR07026317.1,AABR07043141.1,AABR07030796.1,AABR07015846.1,AC130232.1,Entpd5,AC128084.1,AABR07052084.1,Mrpl44
126,AABR07026893.1,AABR07043247.1,AABR07031166.1,AABR07015917.1,AC130862.3,Entpd7,AC128212.1,AABR07052521.1,Mtdh
127,AABR07026997.1,AABR07043347.1,AABR07031674.5,AABR07016558.2,AC133270.1,Ephx1,AC128792.2,AABR07053185.1,Mysm1
128,AABR07027015.1,AABR07043523.1,AABR07032095.1,AABR07016779.1,AC142187.1,Eps8l2,AC132020.1,AABR07053717.2,Ncstn
129,AABR07027190.2,AABR07043720.1,AABR07032328.1,AABR07016841.1,Abca5,Eqtn,AC140988.1,AABR07053734.1,Ndel1
130,AABR07027322.1,AABR07043772.1,AABR07032582.1,AABR07016865.1,Abca8,Etf1,AC142180.1,AABR07053850.1,Nfat5
131,AABR07027575.1,AABR07044492.1,AABR07032759.1,AABR07017104.1,Abcb9,Evc,AY172581.14,AABR07053885.1,Nfyb
132,AABR07027752.2,AABR07044837.2,AABR07033564.1,AABR07017140.1,Abcc1,Fam169a,AY172581.17,AABR07054718.1,Nsun6
133,AABR07028558.1,AABR07045307.1,AABR07033697.1,AABR07017141.1,Abcc10,Fam188a,AY172581.8,AABR07055788.1,Ntrk2
134,AABR07028795.1,AABR07045321.1,AABR07033925.1,AABR07017159.2,Abr,Fam219b,Aacs,AABR07056503.1,Nus1
135,AABR07028795.2,AABR07045399.1,AABR07034426.1,AABR07018062.1,Ac1576,Fam229b,Aak1,AABR07056515.1,Ogt
136,AABR07028908.2,AABR07045405.1,AABR07034428.1,AABR07018087.1,Acad10,Far1,Aamdc,AABR07056683.1,PVR
137,AABR07029221.1,AABR07045680.1,AABR07034637.1,AABR07018115.1,Acbd3,Fbxo45,Aamp,AABR07057304.1,Pbk
138,AABR07029732.1,AABR07046763.1,AABR07034980.2,AABR07018119.2,Acbd5,Fbxo8,Aars,AABR07057421.2,Pcsk5
139,AABR07029742.2,AABR07047089.1,AABR07035486.1,AABR07018132.1,Ace,Fech,Aarsd1,AABR07057530.1,Pdhb
140,AABR07029863.3,AABR07047219.1,AABR07035776.1,AABR07018183.1,Acox2,Fgfrl1,Aatf,AABR07058816.1,Pigu
141,AABR07030019.1,AABR07047262.1,AABR07035791.1,AABR07018857.1,Actn3,Fign,Abca3,AABR07059024.1,Plek2
142,AABR07030162.1,AABR07047771.1,AABR07035916.1,AABR07019088.1,Adamts8,Fkbp9,Abcb6,AABR07059046.1,Plpp3
143,AABR07030265.1,AABR07047835.1,AABR07035926.1,AABR07019392.1,Adat1,Flrt2,Abcc4,AABR07060190.1,Pmf1
144,AABR07030375.1,AABR07048397.1,AABR07036318.1,AABR07019437.4,Adck1,Foxc2,Abcc5,AABR07060930.1,Pold3
